name,citedby,citedby5y,hindex,hindex5y,i10index,i10index5y
Victor(Vic) J Valcarcel,421,314,11,9,11,7
Amanda Besch,419,246,5,4,4,4
Anant Vaibhav,419,316,3,3,3,2
David Channell,415,139,7,6,6,4
Muhammad Saad Yousuf,413,318,14,12,14,13
Hui Ouyang,413,275,10,10,10,10
Balasubramaniam Balachandran,412,412,6,6,6,6
Candace Benjamin,410,410,11,11,11,11
Rujuta Munje,407,394,8,8,7,7
Jaebeom Lee,406,406,7,7,6,6
Van Thuan Nguyen,404,325,11,10,12,11
Qiyue Wang,404,403,4,4,4,4
Tooraj Nikoubin,400,218,12,9,14,9
Benjamin Adam Raichel,400,280,10,9,11,9
Dani Fadda,398,235,10,8,10,8
Monroe Turner,395,369,11,11,13,12
Chi Zhang,391,165,9,5,9,3
Adrian Calin Murza,389,97,10,5,10,1
Kihwan Han,386,326,9,8,8,8
Yingyu Huang,386,377,9,9,9,9
Banks Miller,384,257,9,9,9,9
Nicholas Ruozzi,382,270,12,10,13,10
Mohammad Jafari,381,374,12,12,15,15
xian qian,379,171,9,6,9,5
David Cordell,379,140,9,5,8,3
Yiran Zheng,379,379,3,3,2,2
Mawia Khairalseed,373,323,11,10,15,12
gbadebo ayoade,372,357,9,9,9,9
Zachary T. Sickmann,368,343,8,8,8,8
Karl Ho,365,138,8,7,6,5
sumudu wijenayake,363,248,6,6,6,6
Navneet Sharma,363,328,12,11,13,13
Haoran Wei (魏浩然),360,359,10,10,10,10
Louis Caillard,355,234,9,7,9,6
Allison M. Stiller,353,353,11,11,11,11
Claude Sinner,352,297,7,7,6,4
Kelvin Pak Shing Cheung,352,351,6,6,6,6
Yaqing Jin,351,348,11,11,13,13
Anahita Mahzari,347,343,6,6,5,5
Duo Mao,343,176,8,7,8,5
Mahmud Salam,342,240,6,6,5,4
David Pruitt,342,323,9,8,9,8
Zhe (James) Zhang,342,308,8,7,8,6
Shi Pu,341,341,11,11,13,13
Dongfang Zhang,340,127,7,6,7,6
Angelos Antonopoulos,337,280,13,11,14,12
Jingfu Jin,337,292,9,9,9,8
Yutika Badhe,332,302,8,8,7,7
Evgenia Gorina,331,310,12,11,12,11
Gary Hardee,329,284,7,6,6,6
Kendra L. Seaman,329,317,10,9,10,8
Sarada Preeta Kalainayakan,328,283,6,6,6,6
Ignacio Rios,326,267,10,10,10,10
Huseyin Ulusoy,323,253,9,9,9,9
Qian Zhong,323,304,11,10,11,11
Jiawei Liu,321,297,10,10,10,10
Shouqiang Wang,320,260,12,11,12,12
Kilee DeBrabander,320,318,7,7,6,6
Liang Xu,316,250,9,9,9,8
Sy Han Chiou,316,285,11,11,12,11
Connor Douglas,316,314,7,7,7,7
Rebekah K. Nix,315,91,8,4,4,1
Ye Gao,315,313,12,11,13,13
Ying  Huang (黄颖）,315,312,4,4,4,4
Sumon Sarkar,311,311,4,4,4,4
Dane Grasse,308,226,8,7,7,6
William R Griffin,305,156,7,6,6,6
xu liu,303,286,10,9,10,9
Zhiyang Xia,302,291,11,11,12,12
Yuan Qi,300,299,7,7,6,6
Alexander L. Burton,297,297,11,11,13,13
Julia Henricks,297,296,2,2,1,1
Crystal Maung,296,178,8,7,6,6
MARJAN GANJALI DASHTI,293,233,10,10,12,12
Zhitong Li,290,290,7,7,6,6
Connor Parde,288,286,7,7,5,5
Abdullah Al-Mamun,287,105,9,7,9,3
Joy S. Lee,286,285,3,3,3,3
Sanjay Anand,286,183,5,5,5,5
Yong Chan Jung,286,274,9,9,9,9
Geraldine Jeckeln,284,282,2,2,2,2
Mostafa Sayed Ibrahim,283,248,10,10,10,10
Ashlesha Bhide,278,246,8,8,8,8
Jeff Hicks,277,216,4,4,4,3
Ava Khosravi,272,271,9,9,9,9
Thomas A. Szabo-Pardi,271,267,8,8,8,8
Bikash Manandhar,265,203,4,4,3,3
Sunah Kwon,264,264,10,10,11,11
Sarah P. Maxwell,264,206,8,6,8,5
Tahrima Rahman,262,246,9,9,8,7
Mercedez Callenes,262,149,4,4,3,3
Lauren E. Pinson,261,244,4,4,4,4
Conor A Ryan,259,259,5,5,5,5
Xin Meng,256,225,8,8,6,6
Anyan Qi,254,248,9,9,8,8
Rouzbeh Molaei Imenabadi,251,245,6,6,6,6
payam rabiei,247,71,7,4,5,2
Reza Bagherian Azhiri,246,222,6,6,4,4
Ivneet Kaur Banga,246,244,9,9,7,7
Phillip F. Agres,244,242,3,3,3,3
Sampreetha Thampy,244,242,9,9,9,9
Heidi Rae Cooley,244,122,7,5,4,3
Masoud Farhadi,243,243,9,9,9,9
Sayali Upasham,243,243,9,9,8,8
Qi Cai,241,241,6,6,5,5
BoKyung PARK,239,218,8,7,8,7
Blake A. Wilson,238,182,6,6,6,5
Diana Tavares Ferreira,237,236,8,8,8,8
Maryam Imani,230,172,9,7,9,7
Yafeng Lu,230,215,3,3,3,3
Ronan J. Conlon,230,187,7,7,7,7
Myunghoon Suk,229,174,6,3,5,3
Ambalika S Tanak,229,229,8,8,8,8
Danielle R Berry,226,226,2,2,2,2
John Michael O. Cue,226,226,5,5,2,2
Garrett Greenwood,225,148,1,1,1,1
Rashika Mishra,223,222,6,6,6,6
Chris M. Foster,219,215,9,9,9,9
Baris Coskunuzer,218,120,9,7,8,0
Maria A. Boylan,217,217,6,6,6,6
